"archive_path","uncompressed_bytes","compressed_bytes","extension","crc32","review_required","review_reasons"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/arch_probs_stage3_reduce_local.npy","296","248",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/final_ops_normal.csv","212","114",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/final_ops_reduce.csv","212","111",".csv","","True","review_extension:.csv;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/final_switches_normal.json","240","63",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/final_switches_reduce.json","240","54",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/genotype.json","1072","171",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/genotype.txt","417","140",".txt","","True","generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/run_args.json","1209","514",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/search.log","74090","15035",".log","","True","review_extension:.log;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/stage1_switches_normal.json","822","116",".json","","True","review_extension:.json;generated_or_historical_output"
